recipient_iso3_code,oecd_fcas
AFG,1
AGO,1
ALB,0
ARG,0
ARM,0
AZE,0
BDI,1
BEN,1
BFA,1
BGD,1
BIH,0
BLR,0
BLZ,0
BOL,0
BRA,0
BTN,0
BWA,0
CAF,1
CHN,0
CIV,1
CMR,1
COD,1
COG,1
COL,0
COM,1
CPV,0
CRI,0
CUB,0
DJI,1
DMA,0
DOM,0
DZA,0
ECU,0
EGY,0
ERI,1
ETH,1
FJI,0
FSM,0
GAB,0
GEO,0
GHA,0
GIN,1
GMB,1
GNB,1
GNQ,1
GRD,0
GTM,1
GUY,0
HND,1
HTI,1
IDN,0
IND,0
IRN,1
IRQ,1
JAM,0
JOR,0
KAZ,0
KEN,1
KGZ,0
KHM,1
KIR,0
LAO,1
LBN,0
LBR,1
LBY,1
LCA,0
LKA,0
LSO,1
MAR,0
MDA,0
MDG,1
MDV,0
MEX,0
MHL,0
MKD,0
MLI,1
MMR,1
MNE,0
MNG,0
MOZ,1
MRT,1
MSR,0
MUS,0
MWI,0
MYS,0
NAM,0
NER,1
NGA,1
NIC,1
NIU,0
NPL,0
NRU,0
PAK,1
PAN,0
PER,0
PHL,0
PLW,0
PNG,1
PRK,1
PRY,0
PSE,1
RWA,0
SDN,1
SEN,0
SHN,0
SLB,1
SLE,1
SLV,0
SOM,1
SRB,0
SSD,1
STP,0
SUR,0
SWZ,1
SYR,1
TCD,1
TGO,1
THA,0
TJK,1
TKL,0
TKM,1
TLS,1
TON,0
TUN,0
TUR,0
TUV,0
TZA,1
UGA,1
UKR,0
UZB,0
VCT,0
VEN,1
VNM,0
VUT,0
WLF,0
WSM,0
XKX,0
YEM,1
ZAF,0
ZMB,1
ZWE,1
