recipient_iso3_code,2017,2018,2019,2020,2021,2022
AFG,35643418,36686784,37769499,38972230,40099462,41128771
ALB,2873457,2866376,2854191,2837849,2811666,2777689
DZA,41136546,41927007,42705368,43451666,44177969,44903225
ASM,49463,48424,47321,46189,45035,44273
AND,73837,75013,76343,77700,79034,79824
AGO,30208628,31273533,32353588,33428486,34503774,35588987
ATG,91119,91626,92117,92664,93219,93763
ARG,44044811,44494502,44938712,45376763,45808747,46234830
ARM,2851923,2836557,2820602,2805608,2790974,2780469
ABW,105439,105962,106442,106585,106537,106445
AUS,24592588,24963258,25334826,25649248,25685412,26005540
AUT,8797566,8840521,8879920,8916864,8955797,9041851
AZE,9854033,9939771,10024283,10093121,10137750,10141756
BHS,399020,401906,404557,406471,407906,409984
BHR,1456834,1487340,1494188,1477469,1463265,1472233
BGD,161793964,163683958,165516222,167420951,169356251,171186372
BRB,279187,279688,280180,280693,281200,281635
BLR,9458989,9438785,9419758,9379952,9302585,9228071
BEL,11375158,11427054,11488980,11538604,11586195,11685814
BLZ,374693,382066,389095,394921,400031,405272
BEN,11596779,11940683,12290444,12643123,12996895,13352864
BMU,63873,63918,63911,63893,63764,63532
BTN,756121,762096,767459,772506,777486,782455
BOL,11435533,11606905,11777315,11936162,12079472,12224110
BIH,3440027,3400129,3360711,3318407,3270943,3233526
BWA,2401840,2451409,2499702,2546402,2588423,2630296
BRA,208504960,210166592,211782878,213196304,214326223,215313498
VGB,30060,30335,30610,30910,31122,31305
BRN,430276,434274,438048,441725,445373,449002
BGR,7075947,7025037,6975761,6934015,6877743,6465097
BFA,19835858,20392723,20951639,21522626,22100683,22673762
BDI,11155593,11493472,11874838,12220227,12551213,12889576
CPV,564954,571202,577030,582640,587925,593149
KHM,15830689,16025238,16207746,16396860,16589023,16767842
CMR,24393181,25076747,25782341,26491087,27198628,27914536
CAN,36545236,37065084,37601230,38007166,38226498,38929902
CYM,63581,64884,66134,67311,68136,68706
CAF,4996741,5094780,5209324,5343020,5457154,5579144
TCD,15085884,15604210,16126866,16644701,17179740,17723315
CHI,165215,167259,169410,171113,172683,174079
CHL,18368577,18701450,19039485,19300315,19493184,19603733
CHN,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
COL,48351671,49276961,50187406,50930662,51516562,51874024
COM,761664,776313,790986,806166,821625,836774
COD,84283273,87087355,89906890,92853164,95894118,99010212
COG,5312340,5441062,5570733,5702174,5835806,5970424
CRI,4993842,5040734,5084532,5123105,5153957,5180829
CIV,24848016,25493988,26147551,26811790,27478249,28160542
HRV,4124531,4087843,4065253,4047680,3879000,3855600
CUB,11336405,11328244,11316697,11300698,11256372,11212191
CUW,160175,159336,157441,154947,152369,149996
CYP,1208523,1218831,1228836,1237537,1244188,1251488
CZE,10594438,10629928,10671870,10697858,10505772,10672118
DNK,5764980,5793636,5814422,5831404,5856733,5903037
DJI,1040233,1057198,1073994,1090156,1105557,1120849
DMA,70403,70823,71428,71995,72412,72737
DOM,10647244,10765531,10881882,10999664,11117873,11228821
ECU,16696944,17015672,17343740,17588595,17797737,18001000
EGY,101789386,103740765,105618671,107465134,109262178,110990103
SLV,6266654,6276342,6280217,6292731,6314167,6336392
GNQ,1450694,1502091,1553031,1596049,1634466,1674908
ERI,3396933,3445374,3498818,3555868,3620312,3684032
EST,1317384,1321977,1326898,1329522,1330932,1348840
SWZ,1151390,1160428,1169613,1180655,1192271,1201670
ETH,108197950,111129438,114120594,117190911,120283026,123379924
FRO,50230,50955,51681,52415,52889,53090
FJI,919019,918996,918465,920422,924610,929766
FIN,5508214,5515525,5521606,5529543,5541017,5556106
FRA,66918020,67158348,67388001,67571107,67764304,67971311
PYF,295450,297606,299717,301920,304032,306279
GAB,2140215,2192012,2242785,2292573,2341179,2388992
GMB,2381182,2444916,2508883,2573995,2639916,2705992
GEO,3728004,3726549,3720161,3722716,3708610,3712502
DEU,82657002,82905782,83092962,83160871,83196078,83797985
GHA,30222262,30870641,31522290,32180401,32833031,33475870
GIB,32602,32648,32685,32709,32669,32649
