keyword,category
Action anticipatoire,AA
Action d’anticipation,AA
ADRiFi,PAF
African Risk Capacity,PAF
Anticipatory,AA
ARC premium,PAF
ARC Replica,PAF
Assurance climatique,PAF
Assurance contre les catastrophes,PAF
Assurance contre les desastres,PAF
Assurance indicielle,PAF
Assurance secheresse,PAF
Cat DDO,PAF
Catastrophe ,CF
Catastrophe Deferred Drawdown Option,PAF
Catastrophe insurance,PAF
CCRIF,PAF
Centre for Disaster Protection,PAF
CERC,PAF
Climate insurance,PAF
Cold wave,CF
Conflict affected,CF
Conflict prevention,CF
Contingency plan,PAF
Contingent credit,PAF
Contingent Emergency Response Component,PAF
Contingent financing,PAF
Contingent loan,PAF
Crisis,CF
Crisis modifier,PAF
Cyclone,CF
Dedommagement,PAF
Disaster,CF
Disaster financing,PAF
Disaster insurance,PAF
Disaster Relief Emergency Fund,PAF
Disaster resilience improvement program,PAF
Disaster resilience program,PAF
Disaster risk finance,PAF
DREF,PAF
DRF,PAF
Drought,CF
Drought insurance,PAF
Dzud ,CF
Early action,PAF
Early response,PAF
Early warning,CF
Earthquake,CF
Emergency assistance,CF
Emergency cash,CF
Emergency food,CF
Emergency liquidity,CF
Emergency recovery,CF
Emergency response,CF
Epidemic,CF
Famine,CF
FbF,AA
Financement de la riposte aux desastres,PAF
Financial preparedness,PAF
Flood,CF
Forced migration,CF
Forecast based,AA
Global Risk Assessment Framework ,CF
GRiF,PAF
Hazard,CF
Heat wave,CF
Humanitarian,CF
Humanitarian insurance,PAF
Hurricane,CF
Hyogo Framework,CF
Index insurance,PAF
InsuResilience,PAF
Internal displacement,CF
Landslide,CF
Loss and damage,CF
Outbreak,CF
Parametric,PAF
Payout,PAF
PCRIC,PAF
Premium subsidies,PAF
Premium subsidy,PAF
Preparedness,CF
Refugee,CF
Relief,CF
Riposte anticipative,AA
Riposte aux choques,PAF
Risk financing,PAF
Risk insurance,PAF
Risk mapping,PAF
Risk monitoring,PAF
Risk pool,PAF
Risk transfer,PAF
Risque de catastrophe,PAF
Risques de catastrophe,PAF
Science for Humanitarian Emergencies and Resilience,PAF
Sendai Framework,CF
SFERA,PAF
SHEAR,PAF
Shock adaptive,CF
Shock recovery,CF
Shock responsive,CF
Start Ready,AA
Subventions de prime d’assurance,PAF
Transfert de risque,PAF
Tropical storm,CF
Tsunami,CF
Typhoon,CF
Volcano,CF
