crs_id,project_title,short_description,long_description,purpose_name,Crisis finance determination,Crisis finance confidence ML
2017000092,Experts/advisors in Swiss representation,EXPERTS/ADVISORS IN SWISS REPRESENTATION,SDC's Global budget - Humanitarian assistance - MALI: SKH Regionaler Sicherheitsberater,Multisector aid,Yes,0.995960891246796
201820098715,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Material relief assistance and services,Yes,0.995124042034149
201820098715,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Relief co-ordination and support services,Yes,0.995124042034149
20182009873,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Material relief assistance and services,Yes,0.995124042034149
20182009873,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Relief co-ordination and support services,Yes,0.995124042034149
201820098716,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Material relief assistance and services,Yes,0.995124042034149
201820098716,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Relief co-ordination and support services,Yes,0.995124042034149
201820098710,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Material relief assistance and services,Yes,0.995124042034149
201820098710,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Relief co-ordination and support services,Yes,0.995124042034149
20182009875,Iraq Crisis - Emergency Assistance to Internally Displaced People 2014/Crise en Iraq - Assistance d'urgence aux personnes déplacées 2014,IRAQ CRISIS - EMERGENCY ASSISTANCE TO INTERNALLY DISPLACED PEOPLE 2014/CRISE EN IRAQ - ASSISTANCE D'URGENCE AUX PERSONNES DÉPLACÉES 2014,"August 2014 - The humanitarian situation in Iraq continues to deteriorate as armed clashes continue to drive displacement. The recent surge in violence between armed groups and government forces has displaced an estimated 1.3 million people from their homes. Basic services, including health care and water infrastructure, are disrupted and cause an estimated 1.5 million people to be in need of immediate humanitarian assistance. Iraqi Kurdistan is hosting an additional 230,000 Syrian refugees, which is also placing a great strain on local infrastructure. The situation is expected to deteriorate as fighting and human rights violations persist.This project is helping to reduce the vulnerability of internally displaced people affected by the civil unrest in Iraq. Project activities include: (1) providing food assistance to up to 342,000 people and essential household items, such as hygiene kits, cooking materials, blankets and tents, to up to 240,000 people, (2) rehabilitating essential water and sanitation facilities, such as drinking water stations and latrines, benefiting 1 million people, (3) assisting health facilities through the provision of medical supplies, training for medical professionals and physical rehabilitation services, and (4) promoting respect for humanitarian principles and international humanitarian law with Iraqi authorities and other influential actors. / Août 2014 – La situation humanitaire en Irak continue de se détériorer, alors que des affrontements armés entraînent le déplacement. La récente flambée de violence entre des groupes armés et des forces gouvernementales a entraîné le déplacement d'environ 1,3 million de personnes de leur foyer. Les services essentiels, dont les soins de santé et les infrastructures d'approvisionnement en eau, sont perturbés, ce qui engendre des besoins humanitaires immédiats pour environ 1,5 million de personnes. La région du Kurdistan Irakien accueille aussi 230 000 réfugiés syriens, ce qui exerce également de fortes pressions sur les infrastructures locales. On s'attend à ce que la situation se détériore au fur et à mesure que les combats et les violations des droits de la personne se poursuivent.Ce projet contribue à réduire la vulnérabilité des personnes déplacées à l'intérieur du pays en raison des troubles civils en Irak. Parmi les activités du projet : 1) offre d'une aide alimentaire à 342 000 personnes et fourniture d'articles ménagers de base, comme des trousses d'hygiène, des ustensiles de cuisine, des couvertures et des tentes, à 240 000 personnes, 2) remise en état des installations essentielles d'assainissement et d'approvisionnement en eau, comme les stations d'eau potable et les latrines, qui profiteront à 1 million de personnes, 3) aide aux établissements de santé en donnant des fournitures médicales, une formation aux professionnels de la santé et des services de réadaptation physique, 4) promotion du respect des principes humanitaires et du droit humanitaire international auprès des autorités Irakiennes et des autres intervenants influents.",Material relief assistance and services,Yes,0.995124042034149
