project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
International Committee of the Red Cross,INTERNATIONAL COMMITTEE OF THE RED CROSS,"This programme will provide urgent UK lifesaving assistance to DRC, home to one of the largest and most complex humanitarian crises in the world, with the highest number of acutely food insecure people (27.3 million) ever recorded. Operating through the UN and NGOs, CHRESP will provide cash transfers  to approximately 214,000 people to tackle acute food insecurity and emergency relief (primarily cash) to 420,000 people to help them cope with a sudden conflict or disaster-related shock. It will also treat 66,000 children under five for severe acute malnutrition and provide 206,000 people with access to healthcare, water, shelter and essential household items.",Yes,0.997683525085449
International Committee of the Red Cross,INTERNATIONAL COMMITTEE OF THE RED CROSS,"This programme will provide urgent UK lifesaving assistance to DRC, home to one of the largest and most complex humanitarian crises in the world, with the highest number of acutely food insecure people (27.3 million) ever recorded. Operating through the UN and NGOs, CHRESP will provide cash transfers  to approximately 214,000 people to tackle acute food insecurity and emergency relief (primarily cash) to 420,000 people to help them cope with a sudden conflict or disaster-related shock. It will also treat 66,000 children under five for severe acute malnutrition and provide 206,000 people with access to healthcare, water, shelter and essential household items.",Yes,0.997683525085449
International Committee of the Red Cross,INTERNATIONAL COMMITTEE OF THE RED CROSS,"This programme will provide urgent UK lifesaving assistance to DRC, home to one of the largest and most complex humanitarian crises in the world, with the highest number of acutely food insecure people (27.3 million) ever recorded. Operating through the UN and NGOs, CHRESP will provide cash transfers  to approximately 214,000 people to tackle acute food insecurity and emergency relief (primarily cash) to 420,000 people to help them cope with a sudden conflict or disaster-related shock. It will also treat 66,000 children under five for severe acute malnutrition and provide 206,000 people with access to healthcare, water, shelter and essential household items.",Yes,0.997683525085449
International Committee of the Red Cross,INTERNATIONAL COMMITTEE OF THE RED CROSS,"This programme will provide urgent UK lifesaving assistance to DRC, home to one of the largest and most complex humanitarian crises in the world, with the highest number of acutely food insecure people (27.3 million) ever recorded. Operating through the UN and NGOs, CHRESP will provide cash transfers  to approximately 214,000 people to tackle acute food insecurity and emergency relief (primarily cash) to 420,000 people to help them cope with a sudden conflict or disaster-related shock. It will also treat 66,000 children under five for severe acute malnutrition and provide 206,000 people with access to healthcare, water, shelter and essential household items.",Yes,0.997683525085449
RSC Asia FY 2020[Awards-  Cooperative Agreements],RSC ASIA FY 2020[AWARDS-  COOPERATIVE AGREEMENTS],"To fund FY 2020 processing activities for RSC Asia[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.996090352535248
RSC Asia FY 2020[Awards-  Cooperative Agreements],RSC ASIA FY 2020[AWARDS-  COOPERATIVE AGREEMENTS],"To fund FY 2020 processing activities for RSC Asia[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.996090352535248
Uplift Programme- Delivering Cash Assistance to Highly Vulnerable Populations in Pakistan (DCAP),UPLIFT PROGRAMME- DELIVERING CASH ASSISTANCE TO HIGHLY VULNERABLE POPULATIONS IN PAKISTAN (DCAP),"Support for up to three million of the most vulnerable people affected by natural disaster and conflict.  This will cover both immediate relief and early recovery interventions for shelter, food, non-food items, water and sanitation, livelihood and protection needs, depending on the emergency.   This programme will also support developments in the United Nations and local civil society which are required for humanitarian responses to be more locally owned and effective in future, as well as effective monitoring and evaluation, targeted active research and piloting.",Yes,0.995868802070618
Uplift Programme- Delivering Cash Assistance to Highly Vulnerable Populations in Pakistan (DCAP),UPLIFT PROGRAMME- DELIVERING CASH ASSISTANCE TO HIGHLY VULNERABLE POPULATIONS IN PAKISTAN (DCAP),"Support for up to three million of the most vulnerable people affected by natural disaster and conflict.  This will cover both immediate relief and early recovery interventions for shelter, food, non-food items, water and sanitation, livelihood and protection needs, depending on the emergency.   This programme will also support developments in the United Nations and local civil society which are required for humanitarian responses to be more locally owned and effective in future, as well as effective monitoring and evaluation, targeted active research and piloting.",Yes,0.995868802070618
WHO-SPRP-Core_231_41321_1.1.2 1.1 Improved access to quality essential health services,WHO-SPRP-CORE_231_41321_1.1.2 1.1 IMPROVED ACCESS TO QUALITY ESSENTIAL HEALTH SERVICES,WHO-SPRP-Core_231_41321_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results,Yes,0.995707750320435
WHO-SPRP-Core_231_41321_1.1.2 1.1 Improved access to quality essential health services,WHO-SPRP-CORE_231_41321_1.1.2 1.1 IMPROVED ACCESS TO QUALITY ESSENTIAL HEALTH SERVICES,WHO-SPRP-Core_231_41321_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results,Yes,0.995707750320435
