variable,beta
DonorName_Adaptation Fund,0.0546589485742204
DonorName_African Development Bank,-0.0264027092361926
DonorName_African Development Fund,-0.0207342104313515
DonorName_Asian Infrastructure Investment Bank,0.0146813372847644
DonorName_Australia,-0.0916317576686277
DonorName_Austria,-0.182937713202607
DonorName_Belgium,-0.0343146644124793
DonorName_Bill & Melinda Gates Foundation,0.00682255671426946
DonorName_Black Sea Trade & Development Bank,-0.0340692812661946
DonorName_Bulgaria,-0.174852243908001
DonorName_Canada,0.201954251506036
DonorName_Caribbean Development Bank,0.384263479058807
DonorName_Central Emergency Response Fund,0.484526345002651
DonorName_Citi Foundation,-0.255367183931282
DonorName_Climate Investment Funds,-0.115814680617556
DonorName_Conrad N. Hilton Foundation,-0.137412647602746
DonorName_Czech Republic,-0.01676848348293
DonorName_David & Lucile Packard Foundation,-0.049802235005663
DonorName_Denmark,-0.0493878198231338
DonorName_Development Bank of Latin America,-0.00679622217663313
DonorName_Estonia,-0.17791922742052
DonorName_EU Institutions,0.0333177259947202
DonorName_European Bank for Reconstruction and Development,-0.315483796988146
DonorName_Finland,-0.0731346421869306
DonorName_Food and Agriculture Organisation,-0.0491997629091651
DonorName_Ford Foundation,-0.0493765059537841
DonorName_France,0.270738394241757
DonorName_Germany,0.076857979141566
DonorName_Global Environment Facility,-0.0576890159995609
DonorName_Global Green Growth Institute,-0.0236471277443763
DonorName_Gordon and Betty Moore Foundation,-0.0106185788003983
DonorName_Hungary,-0.0161670565151287
DonorName_Iceland,-0.0507845468432107
DonorName_IDB Invest,-0.387165894561266
DonorName_IKEA Foundation,0.900666629686316
DonorName_Inter-American Development Bank,0.0111885158481432
DonorName_International Bank for Reconstruction and Development,0.230251594856152
DonorName_International Development Association,0.255631731308545
DonorName_International Finance Corporation,-0.375332609422706
DonorName_Ireland,-0.0634588835009482
DonorName_Islamic Development Bank,-0.141123205324192
DonorName_Italy,-0.07043795203748
DonorName_Japan,-0.0528287111340513
DonorName_Korea,-0.0151088836460265
DonorName_Laudes Foundation,-0.0256663299069256
DonorName_Luxembourg,-0.00847165484480921
DonorName_Margaret A. Cargill Foundation,-0.0415944881216327
DonorName_Mastercard Foundation,0.0686980977922038
DonorName_Netherlands,-0.13423885420307
DonorName_New Zealand,-0.0001899500663263
DonorName_Nordic Development Fund,-0.206459162033238
DonorName_Poland,-0.0825128614192433
DonorName_Rockefeller Foundation,-0.0640224169374736
DonorName_Slovak Republic,-0.0772570175060812
DonorName_Spain,-0.179045480290722
DonorName_Sweden,0.00151375961363997
DonorName_Switzerland,0.0421895013720385
DonorName_UNAIDS,0.877718531651552
DonorName_UNDP,-0.0508148742184895
DonorName_UNECE,-0.0103192565064845
DonorName_UNICEF,-0.205703455218568
DonorName_United Kingdom,0.15370201321363
DonorName_WFP,-0.0723175605465484
SectorName_I.1.b. Basic Education,-0.24362930738172
SectorName_I.1.c. Secondary Education,0.550310258048438
"SectorName_I.2.a. Health, General",0.289116820609552
SectorName_I.4. Water Supply & Sanitation,-0.0139716529787845
"SectorName_I.5.b. Conflict, Peace & Security",-0.041981055145443
SectorName_I.6. Other Social Infrastructure & Services,0.0243081998900794
SectorName_II.1. Transport & Storage,-0.0203994710789784
